template_id,file_name,invoice_number,invoice_date,due_date,issuer_name,recipient_name,total_amount
1,Template1_Instance0.jpg,12345670,2008-03-20,2016-10-16,Address:16424 Timothy Mission,16424 Timothy Mission,734.33
1,Template1_Instance1.jpg,v-1999,1994-04-01,1999-11-25,Address:16424 Timothy Mission,"Markville, AK 58294 US.",92.46
1,Template1_Instance10.jpg,12345670,2009-03-12,1995-06-20,Address:16424 Timothy Mission,265 Ochoa Manors Apt. 518,744.38
1,Template1_Instance100.jpg,12345670,2006-09-17,2009-08-14,Address:16424 Timothy Mission,All payments to be made in cash.,967.02
1,Template1_Instance101.jpg,12345670,2017-09-06,2012-05-16,Address:16424 Timothy Mission,"Markville, AK 58294 US.",626.27
1,Template1_Instance102.jpg,12345670,2008-03-29,2020-09-25,Address:16424 Timothy Mission,07698 Jeremy Freeway Apt. 944,444.46
1,Template1_Instance103.jpg,12345670,2007-09-06,2022-02-24,Address:16424 Timothy Mission,All payments to be made in cash.,839.31
1,Template1_Instance104.jpg,12345670,2004-10-18,2014-04-12,Address:16424 Timothy Mission,98127 Hayes Burgs Apt. 011,647.37
1,Template1_Instance105.jpg,12345670,2006-09-21,2006-05-08,Address:16424 Timothy Mission,"Markville, AK 58294 US",86.14
1,Template1_Instance106.jpg,12345670,2015-03-05,2015-02-11,Address:16424 Timothy Mission,All payments to be made in cash.,452.82
1,Template1_Instance107.jpg,12345670,2013-05-11,2016-05-21,Address:16424 Timothy Mission,All payments to be made in cash.,312.12
1,Template1_Instance108.jpg,12345670,2013-05-22,2011-01-31,Culture create western stuf 1.00 $15.13,9890 Mcdonald Parks,334.06
1,Template1_Instance109.jpg,12345670,2015-01-03,1999-03-23,Address:16424 Timothy Mission,"Markville, AK 58294 US.",748.38
1,Template1_Instance11.jpg,12345670,2017-08-11,2000-05-23,Address:16424 Timothy Mission,"Markville, AK 58294 US.",291.69
1,Template1_Instance110.jpg,12345670,2019-02-10,2001-03-18,Finch indeed feating. +00 $6081,'5569 Dunn Ferry Apt. 021,872.33
1,Template1_Instance111.jpg,12345670,2009-05-22,2012-05-15,Address:16424 Timothy Mission,"Markville, AK 58294 US",641.71
1,Template1_Instance112.jpg,21-Feb-2020,2020-02-21,2019-10-05,Address:16424 Timothy Mission Bill to:Ray Davis,16424 Timothy Mission Bill to:Ray Davis,730.72
1,Template1_Instance113.jpg,12345670,1998-02-07,2016-06-22,Address:16424 Timothy Mission,2926 Mark Divide Suite 529,73.83
1,Template1_Instance114.jpg,12345670,2021-10-14,,Address:16424 Timothy Mission,"Markville, AK 58294 US.",83.40
1,Template1_Instance115.jpg,12345670,2001-08-20,1993-10-24,Address:16424 Timothy Mission,07526 Vargas Course Apt. 040,406.86
1,Template1_Instance116.jpg,12345670,2019-04-18,1997-12-06,Address:16424 Timothy Mission,"Markville, AK 58294 US.",590.93
1,Template1_Instance117.jpg,12345670,2002-04-22,2019-10-21,Address:16424 Timothy Mission,"Markville, AK 58294 US.",410.09
1,Template1_Instance118.jpg,12345670,2015-08-10,1995-12-08,Address:16424 Timothy Mission,"East Nathan, MH 20565 US",702.75
1,Template1_Instance119.jpg,12345670,2016-04-06,2004-06-14,Address:16424 Timothy Mission,756 Claire Inlet Suite 825,649.68
1,Template1_Instance12.jpg,18-Mar-2001,2001-03-18,2010-09-09,Address:16424 Timothy Mission Buyer :David Aguirre,"Markville, AK 58294 US. 917 Mcclain Streets Apt. 454",234.82
1,Template1_Instance120.jpg,12345670,2007-04-04,1994-07-13,Address:16424 Timothy Mission,4013 Costa Forges Suite 670,774.65
1,Template1_Instance121.jpg,12345670,2007-05-03,2002-04-08,Address:16424 Timothy Mission,"Markville, AK 58294 US.",323.05
1,Template1_Instance122.jpg,v-2007,2018-08-20,2007-11-17,Address:16424 Timothy Mission,'52697 Paul Brooks Suite 422,91.08
1,Template1_Instance123.jpg,12345670,2018-02-21,2013-02-07,Address:16424 Timothy Mission,"Markville, AK 58294 US",232.64
1,Template1_Instance124.jpg,12345670,2010-12-28,2019-07-28,Address:16424 Timothy Mission,"Markville, AK 58294 US.",713.48
